Der Teufel mit sich durchs Gebirge zog,
so lief mir doch durch's Gemüth, Bild.
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Wohl zu Muth,
Ich fühl, es ist mir heut Woh
